 Date_TimeUTC,SSH,SST,Temp,Bar_Press,Residuals,Adj_Res,Wind_Dir,Wind_Gust,Wind_Sp,Solomon_Islands
13/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
14/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
15/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
16/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
17/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
18/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
19/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
20/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
21/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
22/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
23/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
24/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
25/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
